Wilayah,Tahun,Realisasi,Rencana,Efektivitas_Persen
KABUPATEN BANDUNG,2018,168246.0,168246.0,100.0
KABUPATEN BANDUNG,2019,166432.0,166946.0,99.69211601356128
KABUPATEN BANDUNG,2020,224061.0,224828.0,99.65885032113437
KABUPATEN BANDUNG,2021,1783073.0,2675256.0,66.65055605893417
KABUPATEN BANDUNG,2022,4850.0,4907.0,98.8383941308335
KABUPATEN BANDUNG,2023,24173.0,25365.0,95.30061107825745
KABUPATEN BANDUNG,2024,183875.0,187864.0,97.87665545288081
KABUPATEN BANDUNG BARAT,2018,95599.0,95599.0,100.0
KABUPATEN BANDUNG BARAT,2019,77972.0,82971.0,93.97500331441105
KABUPATEN BANDUNG BARAT,2020,121535.0,121952.0,99.658062188402
KABUPATEN BANDUNG BARAT,2021,1263853.0,1746552.0,72.36274671466983
KABUPATEN BANDUNG BARAT,2022,178251.0,178926.0,99.6227490694477
KABUPATEN BANDUNG BARAT,2023,160805.0,161144.0,99.7896291515663
KABUPATEN BANDUNG BARAT,2024,172775.0,176169.0,98.07344084373528
KABUPATEN BEKASI,2018,96601.0,96601.0,100.0
KABUPATEN BEKASI,2019,102469.0,106824.0,95.9232007788512
KABUPATEN BEKASI,2020,136974.0,137483.0,99.62977240822501
KABUPATEN BEKASI,2021,1209216.0,1742628.0,69.3903690288461
KABUPATEN BEKASI,2022,1025928.0,1045974.0,98.08350876790436
KABUPATEN BEKASI,2023,696017.0,713406.0,97.56253802182768
KABUPATEN BEKASI,2024,129602.0,133278.0,97.24185536997854
KABUPATEN BOGOR,2018,171483.0,171483.0,100.0
KABUPATEN BOGOR,2019,180110.0,189990.0,94.79972630138428
KABUPATEN BOGOR,2020,262106.0,262237.0,99.95004518813134
KABUPATEN BOGOR,2021,3319450.0,2765148.0,120.04601562014041
KABUPATEN BOGOR,2022,5440166.0,5527988.0,98.41132071922009
KABUPATEN BOGOR,2023,4260397.0,4296579.0,99.15788817103095
KABUPATEN BOGOR,2024,345495.0,355049.0,97.30910381383978
KABUPATEN CIAMIS,2018,84940.0,84940.0,100.0
KABUPATEN CIAMIS,2019,84940.0,85141.0,99.76392102512303
KABUPATEN CIAMIS,2020,134767.0,135069.0,99.77641057533558
KABUPATEN CIAMIS,2021,1855638.0,1623432.0,114.30340168236182
KABUPATEN CIAMIS,2022,1353284.0,1372605.0,98.59238455345857
KABUPATEN CIAMIS,2023,1107280.0,1112639.0,99.51835231373339
KABUPATEN CIAMIS,2024,182514.0,184600.0,98.86998916576381
KABUPATEN CIANJUR,2018,189959.0,189959.0,100.0
KABUPATEN CIANJUR,2019,189959.0,189959.0,100.0
KABUPATEN CIANJUR,2020,253563.0,253922.0,99.8586180008034
KABUPATEN CIANJUR,2021,1811760.0,3123636.0,58.001636554323234
KABUPATEN CIANJUR,2022,1470345.0,1720208.0,85.47483792657631
KABUPATEN CIANJUR,2023,1441159.0,1507947.0,95.57093186962142
KABUPATEN CIANJUR,2024,235332.0,243654.0,96.58450097269078
KABUPATEN CIREBON,2018,165213.0,165213.0,100.0
KABUPATEN CIREBON,2019,164193.0,164636.0,99.73092154814258
KABUPATEN CIREBON,2020,218762.0,219193.0,99.80336963315435
KABUPATEN CIREBON,2021,1664680.0,2180676.0,76.33779616962813
KABUPATEN CIREBON,2022,239878.0,240516.0,99.73473698215504
KABUPATEN CIREBON,2023,216404.0,217303.0,99.58629195179081
KABUPATEN CIREBON,2024,237870.0,242309.0,98.16804163279119
KABUPATEN GARUT,2018,171870.0,171870.0,100.0
KABUPATEN GARUT,2019,169175.0,169955.0,99.54105498514313
KABUPATEN GARUT,2020,276469.0,277231.0,99.72513896353583
KABUPATEN GARUT,2021,2412558.0,3063876.0,78.74202480779249
KABUPATEN GARUT,2022,1676256.0,1703277.0,98.41358745524069
KABUPATEN GARUT,2023,1455427.0,1465398.0,99.31957051940839
KABUPATEN GARUT,2024,248327.0,252260.0,98.44089431538889
KABUPATEN INDRAMAYU,2018,161161.0,161161.0,100.0
KABUPATEN INDRAMAYU,2019,159070.0,159663.0,99.62859272342371
KABUPATEN INDRAMAYU,2020,208773.0,211007.0,98.94126735132009
KABUPATEN INDRAMAYU,2021,1871056.0,2658744.0,70.37368020388574
KABUPATEN INDRAMAYU,2022,1800425.0,1834751.0,98.12911942819488
KABUPATEN INDRAMAYU,2023,1274153.0,1387534.0,91.82859663258702
KABUPATEN INDRAMAYU,2024,228906.0,235514.0,97.19422199954143
KABUPATEN KARAWANG,2018,145317.0,145317.0,100.0
KABUPATEN KARAWANG,2019,140473.0,141846.0,99.03204884170155
KABUPATEN KARAWANG,2020,169909.0,170314.0,99.7622039292131
KABUPATEN KARAWANG,2021,941904.0,2098680.0,44.88078220595803
KABUPATEN KARAWANG,2022,605734.0,611408.0,99.07197812262842
KABUPATEN KARAWANG,2023,619822.0,634611.0,97.66959602023917
KABUPATEN KARAWANG,2024,139367.0,160271.0,86.95709142639654
KABUPATEN KUNINGAN,2018,82082.0,82082.0,100.0
KABUPATEN KUNINGAN,2019,82479.0,82830.0,99.57624049257515
KABUPATEN KUNINGAN,2020,96869.0,96919.0,99.94841052837937
KABUPATEN KUNINGAN,2021,984665.0,1186596.0,82.98232928477763
KABUPATEN KUNINGAN,2022,123344.0,123344.0,100.0
KABUPATEN KUNINGAN,2023,112031.0,112031.0,100.0
KABUPATEN KUNINGAN,2024,108372.0,110364.0,98.19506360769816
KABUPATEN MAJALENGKA,2018,106124.0,106124.0,100.0
KABUPATEN MAJALENGKA,2019,97372.0,103324.0,94.23947969494019
KABUPATEN MAJALENGKA,2020,120392.0,120473.0,99.93276501788783
KABUPATEN MAJALENGKA,2021,1064148.0,1493604.0,71.24699719604392
KABUPATEN MAJALENGKA,2022,986132.0,1108806.0,88.93638742936095
KABUPATEN MAJALENGKA,2023,1816447.0,1833751.0,99.05636043279594
KABUPATEN MAJALENGKA,2024,146729.0,151011.0,97.16444497420717
KABUPATEN PANGANDARAN,2018,29575.0,29575.0,100.0
KABUPATEN PANGANDARAN,2019,33527.0,33538.0,99.96720138350528
KABUPATEN PANGANDARAN,2020,30827.0,30841.0,99.95460588178075
KABUPATEN PANGANDARAN,2021,260843.0,423900.0,61.53408822835574
KABUPATEN PANGANDARAN,2022,252725.0,285544.0,88.50649987392487
KABUPATEN PANGANDARAN,2023,234467.0,242661.0,96.62327279620541
KABUPATEN PANGANDARAN,2024,38901.0,41045.0,94.77646485564625
KABUPATEN PURWAKARTA,2018,46582.0,46582.0,100.0
KABUPATEN PURWAKARTA,2019,46440.0,46757.0,99.32202664841628
KABUPATEN PURWAKARTA,2020,50907.0,50992.0,99.83330718544086
KABUPATEN PURWAKARTA,2021,467688.0,573624.0,81.53215346638217
KABUPATEN PURWAKARTA,2022,508656.0,595741.0,85.38207039636352
KABUPATEN PURWAKARTA,2023,434166.0,441720.0,98.28986688399891
KABUPATEN PURWAKARTA,2024,74813.0,76943.0,97.2317169853008
KABUPATEN SUBANG,2018,112891.0,112891.0,100.0
KABUPATEN SUBANG,2019,105002.0,108686.0,96.61041900520766
KABUPATEN SUBANG,2020,122111.0,122200.0,99.92716857610475
KABUPATEN SUBANG,2021,1005517.0,1524228.0,65.96893640583956
KABUPATEN SUBANG,2022,1953070.0,2103871.0,92.83221262140123
KABUPATEN SUBANG,2023,2097660.0,2130006.0,98.48141272841485
KABUPATEN SUBANG,2024,168594.0,174477.0,96.62820887566843
KABUPATEN SUKABUMI,2018,163547.0,163547.0,100.0
KABUPATEN SUKABUMI,2019,161043.0,161756.0,99.55921264126215
KABUPATEN SUKABUMI,2020,202907.0,205025.0,98.96695524935983
KABUPATEN SUKABUMI,2021,1923387.0,2536044.0,75.84202009113406
KABUPATEN SUKABUMI,2022,240066.0,240299.0,99.90303746582383
KABUPATEN SUKABUMI,2023,233149.0,234620.0,99.37302872730372
KABUPATEN SUKABUMI,2024,230126.0,233268.0,98.6530514258278
KABUPATEN SUMEDANG,2018,81528.0,81528.0,100.0
KABUPATEN SUMEDANG,2019,80440.0,80526.0,99.89320219556417
KABUPATEN SUMEDANG,2020,88493.0,88577.0,99.90516725560812
KABUPATEN SUMEDANG,2021,933334.0,1018692.0,91.62082356590608
KABUPATEN SUMEDANG,2022,148436.0,152455.0,97.36381227247385
KABUPATEN SUMEDANG,2023,133601.0,135962.0,98.26348538562245
KABUPATEN SUMEDANG,2024,140470.0,144420.0,97.26492175598948
KABUPATEN TASIKMALAYA,2018,125555.0,125555.0,100.0
KABUPATEN TASIKMALAYA,2019,134859.0,135357.0,99.63208404441588
KABUPATEN TASIKMALAYA,2020,175076.0,175163.0,99.95033197650189
KABUPATEN TASIKMALAYA,2021,1504181.0,2245800.0,66.97751358090657
KABUPATEN TASIKMALAYA,2022,111609.0,208207.0,53.604825966466066
KABUPATEN TASIKMALAYA,2023,212497.0,247551.0,85.83968555974324
KABUPATEN TASIKMALAYA,2024,219838.0,224498.0,97.92425767712852
KOTA BANDUNG,2018,63262.0,63262.0,100.0
KOTA BANDUNG,2019,50763.0,54308.0,93.47241658687486
KOTA BANDUNG,2020,95262.0,95407.0,99.84801953735051
KOTA BANDUNG,2021,803562.0,1157604.0,69.41596608166523
KOTA BANDUNG,2022,624508.0,649773.0,96.1117190157178
KOTA BANDUNG,2023,524605.0,535388.0,97.9859466405672
KOTA BANDUNG,2024,92575.0,94861.0,97.5901582315177
KOTA BANJAR,2018,8717.0,8717.0,100.0
KOTA BANJAR,2019,8127.0,8294.0,97.98649626235833
KOTA BANJAR,2020,10866.0,10870.0,99.96320147194112
KOTA BANJAR,2021,103727.0,138768.0,74.74850109535339
KOTA BANJAR,2022,113138.0,117173.0,96.55637390866497
KOTA BANJAR,2023,61208.0,63838.0,95.88019674801842
KOTA BANJAR,2024,15460.0,15639.0,98.85542553871731
KOTA BEKASI,2018,68253.0,68253.0,100.0
KOTA BEKASI,2019,60381.0,62613.0,96.43524507690097
KOTA BEKASI,2020,74702.0,74942.0,99.679752341811
KOTA BEKASI,2021,557729.0,1052544.0,52.98866365681625
KOTA BEKASI,2022,443704.0,476137.0,93.18830504665674
KOTA BEKASI,2023,100438.0,209553.0,47.92964071141907
KOTA BEKASI,2024,57264.0,60715.0,94.31606686980153
KOTA BOGOR,2018,41759.0,41759.0,100.0
KOTA BOGOR,2019,32257.0,35074.0,91.96840964817244
KOTA BOGOR,2020,58378.0,58430.0,99.91100462091391
KOTA BOGOR,2021,494012.0,706500.0,69.92384996461429
KOTA BOGOR,2022,71142.0,72117.0,98.64803028412163
KOTA BOGOR,2023,52702.0,53294.0,98.88918077081847
KOTA BOGOR,2024,63362.0,66735.0,94.94568067730576
KOTA CIMAHI,2018,18724.0,18724.0,100.0
KOTA CIMAHI,2019,15817.0,16641.0,95.04837449672495
KOTA CIMAHI,2020,22454.0,22527.0,99.67594442224885
KOTA CIMAHI,2021,211979.0,289356.0,73.25889216052198
KOTA CIMAHI,2022,226419.0,238558.0,94.91150998918502
KOTA CIMAHI,2023,32593.0,32593.0,100.0
KOTA CIMAHI,2024,31326.0,32064.0,97.69835329341318
KOTA CIREBON,2018,16994.0,16994.0,100.0
KOTA CIREBON,2019,16117.0,16427.0,98.11286296950144
KOTA CIREBON,2020,24753.0,25032.0,98.88542665388303
KOTA CIREBON,2021,181974.0,305784.0,59.510634958009575
KOTA CIREBON,2022,245824.0,268399.0,91.58901486220142
KOTA CIREBON,2023,48938.0,48938.0,100.0
KOTA CIREBON,2024,30120.0,35334.0,85.24367464764816
KOTA DEPOK,2018,36993.0,36993.0,100.0
KOTA DEPOK,2019,31989.0,33408.0,95.75251436781609
KOTA DEPOK,2020,60604.0,60816.0,99.6514075243357
KOTA DEPOK,2021,622504.0,790908.0,78.70751086093452
KOTA DEPOK,2022,84488.0,84821.0,99.6074085426958
KOTA DEPOK,2023,71295.0,71504.0,99.70770865965541
KOTA DEPOK,2024,70859.0,75974.0,93.26743359570379
KOTA SUKABUMI,2018,14389.0,14389.0,100.0
KOTA SUKABUMI,2019,12114.0,12114.0,100.0
KOTA SUKABUMI,2020,18866.0,18959.0,99.50946779893455
KOTA SUKABUMI,2021,152632.0,257052.0,59.377869069293375
KOTA SUKABUMI,2022,146275.0,154603.0,94.61329987128322
KOTA SUKABUMI,2023,153539.0,163721.0,93.78088333200995
KOTA SUKABUMI,2024,21192.0,21733.0,97.51069801684075
