Wilayah,C1_Volume,C2_Efektivitas,C4_Stabilitas,C3_Tren_Pertumbuhan,Skor_TOPSIS,Ranking
KOTA TASIKMALAYA,283078.71428571426,95.53374263545992,346690.1394409299,172.75329020295462,0.6227061212476723,1
KABUPATEN CIAMIS,686194.7142857143,101.54635133082516,738320.1406333873,114.87402872615964,0.5753487937372965,2
KABUPATEN BOGOR,1997029.5714285714,101.38201425910668,2276626.145022268,101.47478175679221,0.5464451301337914,3
KOTA DEPOK,139818.85714285713,95.24199765016304,213687.0220528367,91.54704944178629,0.504973761974276,4
KOTA BANJAR,45891.857142857145,94.85574214643621,46659.3948147229,77.35459447057474,0.4867153260948293,5
KOTA CIREBON,80674.28571428571,90.47737344160623,93495.98922006278,77.23902553842532,0.48586306583296585,6
KABUPATEN BANDUNG BARAT,295827.14285714284,94.78309018317603,428602.5629711938,80.72887791713302,0.48484093421965957,7
KABUPATEN SUMEDANG,229471.7142857143,97.75877320445203,311735.51706145296,72.29663428515357,0.4738253349741267,8
KABUPATEN TASIKMALAYA,354802.14285714284,86.27552840073746,508578.3224743359,75.09298713711122,0.47276876441082316,9
KOTA CIMAHI,79901.71428571429,94.37043919458485,95445.65826289897,67.3039948728904,0.4705776597494891,10
KABUPATEN PURWAKARTA,232750.2857142857,94.51302022370035,223334.3169172726,60.60495470353355,0.46264435798402825,11
KOTA BOGOR,116230.28571428571,93.46945085227807,167096.40328735815,51.732560645609325,0.44340430984785556,12
KOTA SUKABUMI,74143.85714285714,92.11317401262313,71815.46472598729,47.27917158940858,0.4425247011986663,13
KOTA BANDUNG,322076.71428571426,93.4891751562419,318596.56014554115,46.33587303594575,0.43799916918758375,14
KABUPATEN GARUT,915726.0,96.3117530066442,919684.7438218527,44.48536684703555,0.43714782504136895,15
KABUPATEN SUBANG,794977.8571428572,92.92119403037664,900823.7540716883,49.34228592181839,0.4320307304114993,16
KABUPATEN INDRAMAYU,814792.0,93.72792547699326,802693.8847310764,42.035604147405394,0.4318425415771317,17
KABUPATEN PANGANDARAN,125837.85714285714,91.62316185991689,115830.29138561376,31.53338968723584,0.42033152348492686,18
KABUPATEN CIREBON,415285.71428571426,96.1944511310946,551813.6314664925,43.977774146102306,0.41710559182731827,19
KABUPATEN BEKASI,485258.14285714284,93.97589205366184,484120.0278007609,34.162172234241886,0.41551915759997615,20
KABUPATEN MAJALENGKA,619620.5714285715,92.93949067789086,679902.7707743357,38.261844634578416,0.41416338114445383,21
KABUPATEN KUNINGAN,227120.2857142857,97.24314913049004,334393.1852254739,32.028946663093,0.4055262635825358,22
KABUPATEN CIANJUR,798868.1428571428,90.78436076057359,735508.8942082728,23.885680594233495,0.4040995701905352,23
KABUPATEN SUKABUMI,450603.5714285714,96.04247222867306,650245.3816085784,40.70939852152593,0.4029852474161149,24
KABUPATEN KARAWANG,394646.5714285714,89.62481436373382,325882.55667282816,-4.094496858591906,0.37408276509858573,25
KOTA BEKASI,194638.7142857143,83.50538195762935,212130.83890193357,-16.10039119159597,0.3625890228220144,26
KABUPATEN BANDUNG,364958.5714285714,94.00245472222879,630821.3616957015,9.289373892990028,0.3480540325194821,27
